power,selfprotection,average_earth_discharge_density_ddt_rayskm2ao,burning_rate__failuresyear,criticality_according_to_previous_study_for_ceramics_level,removable_connectors,number_of_users,km_of_network_lt,power_per_user,lightning_risk_score,network_density,historical_risk_index,type_of_clients_COMMERCIAL,type_of_clients_INDUSTRIAL,type_of_clients_OFFICIAL,type_of_clients_STRATUM 1,type_of_clients_STRATUM 2,type_of_clients_STRATUM 3,type_of_clients_STRATUM 4,type_of_clients_STRATUM 5,type_of_clients_STRATUM 6,type_of_installation_CABINA,type_of_installation_EN H,type_of_installation_MACRO WITHOUT ANTI-FRAUD NET,type_of_installation_OTROS,type_of_installation_PAD MOUNTED,type_of_installation_POLE,type_of_installation_POLE WITH ANTI-FRAUD NET,type_of_installation_TORRE METALICA,target
75.0,1,3.1556016597510377,0.2,0,1,81,0.40552,0.9146341463414634,3.1556016597510377,0.0053357894736842,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,79,0.39924,1.40625,6.311203319502075,0.0035175330396475,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,33,0.0,3.3088235294117645,6.311203319502075,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,72,0.60203,1.5410958904109588,6.311203319502075,0.0053042290748898,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,77,0.38921,0.5769230769230769,6.311203319502075,0.0084610869565217,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
45.0,0,3.1556016597510377,0.0,0,1,63,0.26483,0.703125,6.311203319502075,0.0057571739130434,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,126,0.50186,0.8858267716535433,6.311203319502075,0.0044216740088105,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,33,0.7466,2.2058823529411766,6.311203319502075,0.0098236842105263,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
50.0,0,3.1556016597510377,0.0,0,1,104,0.77506,0.4761904761904761,6.311203319502075,0.0151972549019607,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,115,0.56893,0.9698275862068966,6.311203319502075,0.0050125991189427,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
37.5,0,3.1556016597510377,0.0,0,1,110,0.73716,0.3378378378378378,6.311203319502075,0.0191470129870129,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
75.0,0,3.1556016597510377,0.0,0,1,28,0.27875,2.586206896551724,6.311203319502075,0.0036677631578947,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
37.5,0,3.1556016597510377,0.0,0,1,101,0.43425,0.3676470588235294,6.311203319502075,0.0112792207792207,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,62,0.28313,1.7857142857142858,6.311203319502075,0.0024945374449339,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
25.0,0,3.1556016597510377,0.0,0,0,150,0.81494,0.1655629139072847,6.311203319502075,0.0313438461538461,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37.5,0,3.1556016597510377,0.0,1,0,24,0.43066,1.5,6.311203319502075,0.011185974025974,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75.0,0,3.1556016597510377,0.0,0,1,36,0.108,2.027027027027027,6.311203319502075,0.0014210526315789,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
30.0,0,3.1556016597510377,0.0,0,1,1,0.0,15.0,6.311203319502075,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
50.0,0,3.1556016597510377,0.0,0,1,95,0.23925,0.5208333333333334,6.311203319502075,0.0046911764705882,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
37.5,0,3.1556016597510377,0.0,0,0,105,12841.0,0.3537735849056603,6.311203319502075,333.53246753246754,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,29,0.17751,2.5,6.311203319502075,0.0023356578947368,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
37.5,0,3.1556016597510377,0.2,1,1,60,0.5438,0.6147540983606558,6.311203319502075,0.0141246753246753,0.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10.0,0,3.1556016597510377,0.2,1,1,13,0.42621,0.7142857142857143,6.311203319502075,0.0387463636363636,0.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112.5,0,3.1556016597510377,0.0,0,1,149,0.53538,0.75,6.311203319502075,0.0047170044052863,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
30.0,0,3.1556016597510377,0.0,0,1,10,0.4123,2.727272727272727,6.311203319502075,0.0133,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,37,0.14939,1.973684210526316,6.311203319502075,0.0019656578947368,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
30.0,0,3.1556016597510377,0.0,0,1,13,0.3261,2.142857142857143,6.311203319502075,0.0105193548387096,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,33,0.15994,2.2058823529411766,6.311203319502075,0.0021044736842105,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
50.0,0,3.1556016597510377,0.0,0,1,58,0.0,0.847457627118644,6.311203319502075,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,23,0.6257,1.875,6.311203319502075,0.0136021739130434,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
150.0,0,3.1556016597510377,0.0,0,1,1,0.0,75.0,6.311203319502075,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
30.0,0,3.1556016597510377,0.0,0,1,10,0.25931,2.727272727272727,6.311203319502075,0.0083648387096774,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.2,0,1,19,0.7262,3.75,6.311203319502075,0.0095552631578947,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
45.0,0,3.1556016597510377,0.0,0,1,24,0.12668,1.8,6.311203319502075,0.0027539130434782,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,21,0.18672,2.0454545454545454,6.311203319502075,0.0040591304347826,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
25.0,0,3.1556016597510377,0.0,0,1,3,0.0,6.25,6.311203319502075,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112.5,0,3.1556016597510377,0.2,0,1,106,0.4242,1.0514018691588785,6.311203319502075,0.0037374449339207,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
112.5,0,3.1556016597510377,0.4,0,1,40,0.1838,2.7439024390243905,6.311203319502075,0.0016193832599118,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,44,0.24698,1.0,6.311203319502075,0.0053691304347826,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,58,0.22693,0.7627118644067796,6.311203319502075,0.0049332608695652,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
